dataset;method;cls;nr_events;n_iter;metric;score
turnaround_labeled;cluster_index;xgboost;-1;-1;test_prefix_generation_time;1.7583229541778564
turnaround_labeled;cluster_index;xgboost;-1;0;train_prefix_generation_time;7.225682020187378
turnaround_labeled;cluster_index;xgboost;-1;0;offline_time_total;8.879670858383179
turnaround_labeled;cluster_index;xgboost;-1;0;online_time_avg;0.020592256133251777
turnaround_labeled;cluster_index;xgboost;-1;0;online_time_std;0.0019806461657147843
turnaround_labeled;cluster_index;xgboost;-1;1;train_prefix_generation_time;7.4617719650268555
turnaround_labeled;cluster_index;xgboost;-1;1;offline_time_total;9.240154504776001
turnaround_labeled;cluster_index;xgboost;-1;1;online_time_avg;0.021704713022131228
turnaround_labeled;cluster_index;xgboost;-1;1;online_time_std;0.0025280544945246327
turnaround_labeled;cluster_index;xgboost;-1;2;train_prefix_generation_time;7.3142149448394775
turnaround_labeled;cluster_index;xgboost;-1;2;offline_time_total;8.909761905670166
turnaround_labeled;cluster_index;xgboost;-1;2;online_time_avg;0.02069213211798983
turnaround_labeled;cluster_index;xgboost;-1;2;online_time_std;0.0019831335217436446
turnaround_labeled;cluster_index;xgboost;-1;3;train_prefix_generation_time;7.21222186088562
turnaround_labeled;cluster_index;xgboost;-1;3;offline_time_total;9.003213882446289
turnaround_labeled;cluster_index;xgboost;-1;3;online_time_avg;0.021078939742453822
turnaround_labeled;cluster_index;xgboost;-1;3;online_time_std;0.0025250258220174157
turnaround_labeled;cluster_index;xgboost;-1;4;train_prefix_generation_time;7.643125057220459
turnaround_labeled;cluster_index;xgboost;-1;4;offline_time_total;9.309462547302246
turnaround_labeled;cluster_index;xgboost;-1;4;online_time_avg;0.020628738902213815
turnaround_labeled;cluster_index;xgboost;-1;4;online_time_std;0.0019478746675880081
turnaround_labeled;cluster_index;xgboost;-1;5;train_prefix_generation_time;8.121290922164917
turnaround_labeled;cluster_index;xgboost;-1;5;offline_time_total;9.792351722717285
turnaround_labeled;cluster_index;xgboost;-1;5;online_time_avg;0.021186085130674725
turnaround_labeled;cluster_index;xgboost;-1;5;online_time_std;0.0025677419166894315
turnaround_labeled;cluster_index;xgboost;-1;6;train_prefix_generation_time;7.233578205108643
turnaround_labeled;cluster_index;xgboost;-1;6;offline_time_total;8.878986120223999
turnaround_labeled;cluster_index;xgboost;-1;6;online_time_avg;0.02068356913617004
turnaround_labeled;cluster_index;xgboost;-1;6;online_time_std;0.002167031067871484
turnaround_labeled;cluster_index;xgboost;-1;7;train_prefix_generation_time;7.233150959014893
turnaround_labeled;cluster_index;xgboost;-1;7;offline_time_total;8.857448816299438
turnaround_labeled;cluster_index;xgboost;-1;7;online_time_avg;0.021572787199776604
turnaround_labeled;cluster_index;xgboost;-1;7;online_time_std;0.002844099924168914
turnaround_labeled;cluster_index;xgboost;-1;8;train_prefix_generation_time;7.426764011383057
turnaround_labeled;cluster_index;xgboost;-1;8;offline_time_total;9.025123119354248
turnaround_labeled;cluster_index;xgboost;-1;8;online_time_avg;0.021304334181520907
turnaround_labeled;cluster_index;xgboost;-1;8;online_time_std;0.002498582233465369
turnaround_labeled;cluster_index;xgboost;-1;9;train_prefix_generation_time;7.330235958099365
turnaround_labeled;cluster_index;xgboost;-1;9;offline_time_total;9.088857650756836
turnaround_labeled;cluster_index;xgboost;-1;9;online_time_avg;0.022020033540179552
turnaround_labeled;cluster_index;xgboost;-1;9;online_time_std;0.0023801803059242494
turnaround_labeled;cluster_index;xgboost;0;-1;auc;0.875
turnaround_labeled;cluster_index;xgboost;1;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;2;-1;auc;0.9875
turnaround_labeled;cluster_index;xgboost;3;-1;auc;0.9125
turnaround_labeled;cluster_index;xgboost;4;-1;auc;0.775
turnaround_labeled;cluster_index;xgboost;5;-1;auc;0.95
turnaround_labeled;cluster_index;xgboost;6;-1;auc;0.95
turnaround_labeled;cluster_index;xgboost;7;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;8;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;9;-1;auc;0.8875
turnaround_labeled;cluster_index;xgboost;10;-1;auc;0.7875
turnaround_labeled;cluster_index;xgboost;11;-1;auc;0.775
turnaround_labeled;cluster_index;xgboost;12;-1;auc;0.8125
turnaround_labeled;cluster_index;xgboost;13;-1;auc;0.825
turnaround_labeled;cluster_index;xgboost;14;-1;auc;0.85
turnaround_labeled;cluster_index;xgboost;15;-1;auc;0.7875
turnaround_labeled;cluster_index;xgboost;16;-1;auc;0.9
turnaround_labeled;cluster_index;xgboost;17;-1;auc;0.95
turnaround_labeled;cluster_index;xgboost;18;-1;auc;0.775
turnaround_labeled;cluster_index;xgboost;19;-1;auc;0.8625
turnaround_labeled;cluster_index;xgboost;20;-1;auc;0.8125
turnaround_labeled;cluster_index;xgboost;21;-1;auc;0.875
turnaround_labeled;cluster_index;xgboost;22;-1;auc;0.875
turnaround_labeled;cluster_index;xgboost;23;-1;auc;0.825
turnaround_labeled;cluster_index;xgboost;24;-1;auc;0.8
turnaround_labeled;cluster_index;xgboost;25;-1;auc;0.9375
turnaround_labeled;cluster_index;xgboost;26;-1;auc;0.9
turnaround_labeled;cluster_index;xgboost;27;-1;auc;0.9375
turnaround_labeled;cluster_index;xgboost;28;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;29;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;30;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;31;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;32;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;33;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;34;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;35;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;36;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;37;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;38;-1;auc;1.0
turnaround_labeled;cluster_index;xgboost;39;-1;auc;nan
turnaround_labeled;cluster_index;xgboost;-1;-1;auc;0.8967582315945245
turnaround_labeled;cluster_index;xgboost;-1;-1;online_time_avg;0.02114635891063623
turnaround_labeled;cluster_index;xgboost;-1;-1;online_time_std;0.0024080417494231113
turnaround_labeled;cluster_index;xgboost;-1;-1;offline_time_total_avg;9.098503112792969
turnaround_labeled;cluster_index;xgboost;-1;-1;offline_time_total_std;0.2739266821375549
